title,company_name,period,reward,link
[백오피스사업본부] 백엔드 엔지니어 (시니어),퓨쳐위즈(Futurewiz),경력 5-9년,합격보상금 100만원,https://www.wanted.co.kr//wd/282362
Backend Engineer Lead,엠지알브이,경력 8-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/242666
[피토버 플러스] 해외영업 AMD,에스지메디코스,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr//wd/295851
백엔드 개발자 (5~10년차),리얼드로우,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/279902
Mobile 개발자(AOS) /중급,글로벌머니익스프레스,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/292181
안드로이드 개발자 시니어,캔디플러스스튜디오,경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/296585
시니어 백엔드 개발자 (5~10년차),스튜디오랩(STUDIO LAB),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/292603
Backend Engineer (Vehicle Subscription Platform),포티투닷(42dot),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/296344
[백오피스사업본부] 백엔드 엔지니어 (시니어),퓨쳐위즈(Futurewiz),경력 5-9년,합격보상금 100만원,https://www.wanted.co.kr//wd/282362
Backend Engineer Lead,엠지알브이,경력 8-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/242666
[피토버 플러스] 해외영업 AMD,에스지메디코스,경력 1-5년,합격보상금 100만원,https://www.wanted.co.kr//wd/295851
백엔드 개발자 (5~10년차),리얼드로우,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/279902
Mobile 개발자(AOS) /중급,글로벌머니익스프레스,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/292181
안드로이드 개발자 시니어,캔디플러스스튜디오,경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/296585
시니어 백엔드 개발자 (5~10년차),스튜디오랩(STUDIO LAB),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/292603
Backend Engineer (Vehicle Subscription Platform),포티투닷(42dot),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/296344
스마트로그 백엔드 리드 개발자 (7년 이상),스퀘어스,경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/294518
백엔드 개발자 (5년 이상) (판교역),포트로직스,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/292746
윈골드 JAVA/KOTLIN 웹 유지보수 개발자,레전더리홀딩스,경력 7-12년,합격보상금 100만원,https://www.wanted.co.kr//wd/255146
[RTB] Full Stack 시니어,알스퀘어,경력 8년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/282941
[株式会社ヌーラボ] 【Nulab Apps】소프트웨어 엔지니어 (백엔드)_근무지 일본,원티드_일본 현지 채용,경력 5-15년,N/A,https://www.wanted.co.kr//wd/296054
백엔드 개발자 - 서비스 (Senior),트래블월렛,경력 8-12년,합격보상금 100만원,https://www.wanted.co.kr//wd/287834
Lead Backend Engineer (SDV Cloud Platform),포티투닷(42dot),경력 10년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/289931
Backend Engineer - Platform,에이비일팔공(AB180),경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/248675
Software Engineer (Graphic),스튜디오씨드코리아(프로토파이),경력 7년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/295956
안드로이드 개발,에버엑스,신입,합격보상금 100만원,https://www.wanted.co.kr//wd/294780
Android Engineer (AI SDK),포티투닷(42dot),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/289937
[제로아이즈] Flutter App개발자,오래,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/296060
[제주]개발자 (5년이상),잇뉴,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/294485
DevOps Engineer,라이너(Liner),경력 3-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/285192
안드로이드 프레임워크 SW 개발자,아이리버,경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/293007
Software Engineer (Graphic),스튜디오씨드코리아(프로토파이),경력 4-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/250058
Android Engineer (Proximity Intelligence),포티투닷(42dot),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/292264
IVI OS Engineer (Connectivity),포티투닷(42dot),경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/292282
[병역특례 현역/보충역] 안드로이드앱(Kotlin) 개발자,넛지헬스케어(캐시워크),신입,합격보상금 100만원,https://www.wanted.co.kr//wd/85839
Software Engineer (Backend),스튜디오씨드코리아(프로토파이),경력 5-8년,합격보상금 100만원,https://www.wanted.co.kr//wd/268533
Senior IVI OS Engineer (Mobile Integration),포티투닷(42dot),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/295309
Data Engineer (Platform - airflow ops),토스뱅크,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/282672
Android Engineer (UI framework),포티투닷(42dot),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/292280
서버 테크 리드 (Server Tech Lead),뱅크샐러드,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/279176
[미리디] 시니어 데이터 엔지니어,미리디,경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/280518
Data Engineer (Customer Data Product),토스뱅크,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/288604
ML Software Engineering Team Leader,하이퍼커넥트,경력 5-15년,합격보상금 100만원,https://www.wanted.co.kr//wd/247297
[Mantra株式会社] 모바일 앱 엔지니어／영어학습 앱개발 리드_근무지 일본,원티드_일본 현지 채용,경력 3-15년,N/A,https://www.wanted.co.kr//wd/296040
Senior Android Engineer (Graphics),포티투닷(42dot),경력 5년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/295302
Mobile App Security Engineer,포티투닷(42dot),경력 5-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/289967
[株式会社ヌーラボ] Nulab Apps 프로젝트 매니저_근무지 일본,원티드_일본 현지 채용,경력 3-10년,N/A,https://www.wanted.co.kr//wd/288206
의료기기 사업부문 BackEnd Developer,에버엑스,경력 2년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/292475
[백오피스사업본부] 백엔드 엔지니어 (3년 이상),퓨쳐위즈(Futurewiz),경력 3-9년,합격보상금 100만원,https://www.wanted.co.kr//wd/294478
Backend 개발자 (상품/빌링),콘텐츠웨이브(wavve),경력 3-11년,합격보상금 100만원,https://www.wanted.co.kr//wd/292248
Backend Developer,글로랑,경력 3년 이상,합격보상금 100만원,https://www.wanted.co.kr//wd/294863
Backend 개발,드림어스컴퍼니,신입,합격보상금 100만원,https://www.wanted.co.kr//wd/295766
"Software Engineer, Backend (BaaS)",어니스트에이아이,경력 3-10년,합격보상금 100만원,https://www.wanted.co.kr//wd/291698
글로벌 명품 플랫폼 Kotlin 백엔드 개발자,우노트레이딩,신입-경력 3년,합격보상금 100만원,https://www.wanted.co.kr//wd/293669
Android Engineer,바비톡,경력 5년,합격보상금 100만원,https://www.wanted.co.kr//wd/293543
Backend 개발자 (회원/인증),콘텐츠웨이브(wavve),경력 3-11년,합격보상금 100만원,https://www.wanted.co.kr//wd/292253
